Population,Profit
3732,-2445
4264,-2352
5859,-2229
8891,-1036
5373,-2290
6874,-1753
7744,-560
4468,-3159
1705,-4194
3599,-3033
3222,-2572
8768,-606
3897,-3487
1537,-3719
7216,-1155
7921,-1538
7036,-662
3163,-2452
6072,-1343
5851,-1270
8877,-941
3046,-3017
2871,-2766
8599,-332
3496,-3307
9291,-1153
1755,-4254
1797,-3879
1659,-3344
4219,-1957
9615,-238
8456,-41
4337,-3310
3745,-2517
5735,-2035
9736,-1103
7687,-717
1714,-4345
3292,-2704
9343,7
2207,-4894
7172,-1426
9994,732
8221,-1401
7021,-1839
4622,-1948
4560,-3337
9948,109
2641,-4202
5984,-1072
5353,-1717
9622,-293
8250,-1714
5187,-2766
3659,-3154
3956,-2156
3251,-4156
5420,-2187
8108,-532
2071,-3869
6251,-1245
8012,-913
4918,-1613
2684,-3451
8098,-775
3957,-3131
5469,-2072
9752,-354
6795,-1451
2472,-4183
8263,-1489
8365,-1444
9448,-50
7001,-1186
4762,-2665
3435,-4102
2634,-3167
1973,-3259
5464,-1421
9393,381
3418,-2494
4455,-1926
7167,-1335
6819,-1807
7521,-828
7242,-1827
8742,-5
7738,-432
3787,-2316
8316,-662
5305,-1447
3610,-3035
6531,-1833
7926,-716
8204,94
7922,-205
5182,-1822
1307,-5181
6302,-1623
2152,-3951
